epoch (ms),time (-13:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1627848915949,2021-08-01T16:15:15.949,2.200,-0.427,0.122,-0.732
1627848915959,2021-08-01T16:15:15.959,2.210,-0.427,0.244,-0.610
1627848915969,2021-08-01T16:15:15.969,2.220,-0.488,0.183,-0.549
1627848915979,2021-08-01T16:15:15.979,2.230,-0.366,0.244,-0.610
1627848915989,2021-08-01T16:15:15.989,2.240,-0.488,0.305,-0.549
1627848915999,2021-08-01T16:15:15.999,2.250,-0.488,0.122,-0.671
1627848916009,2021-08-01T16:15:16.009,2.260,-0.427,0.244,-0.793
1627848916019,2021-08-01T16:15:16.019,2.270,-0.427,0.305,-0.610
1627848916029,2021-08-01T16:15:16.029,2.280,-0.549,0.244,-0.488
1627848916039,2021-08-01T16:15:16.039,2.290,-0.305,0.305,-0.671
1627848916049,2021-08-01T16:15:16.049,2.300,-0.427,0.183,-0.793
1627848916059,2021-08-01T16:15:16.059,2.310,-0.549,0.244,-0.610
1627848916069,2021-08-01T16:15:16.069,2.320,-0.610,0.183,-0.549
1627848916079,2021-08-01T16:15:16.079,2.330,-0.183,0.854,-0.549
1627848916089,2021-08-01T16:15:16.089,2.340,-0.915,1.646,0.122
1627848916099,2021-08-01T16:15:16.099,2.350,-3.415,4.207,0.122
1627848916109,2021-08-01T16:15:16.109,2.360,-3.293,5.305,-0.366
1627848916119,2021-08-01T16:15:16.119,2.370,1.707,-5.427,-1.829
1627848916129,2021-08-01T16:15:16.129,2.380,0.488,0.610,-2.744
1627848916139,2021-08-01T16:15:16.139,2.390,-4.756,9.146,0.915
1627848916149,2021-08-01T16:15:16.149,2.400,-3.476,8.171,-0.732
1627848916159,2021-08-01T16:15:16.159,2.410,1.159,-1.463,-3.171
1627848916169,2021-08-01T16:15:16.169,2.420,1.585,-1.707,-2.927
1627848916179,2021-08-01T16:15:16.179,2.430,-0.671,1.341,-1.280
1627848916189,2021-08-01T16:15:16.189,2.440,-0.305,1.280,-1.463
1627848916199,2021-08-01T16:15:16.199,2.450,1.768,-5.610,-1.646
1627848916209,2021-08-01T16:15:16.209,2.460,2.378,-5.854,-2.439
1627848916219,2021-08-01T16:15:16.219,2.470,-0.244,1.951,-2.073
1627848916229,2021-08-01T16:15:16.229,2.480,-2.012,4.817,-1.341
1627848916239,2021-08-01T16:15:16.239,2.490,-1.585,1.402,-0.732
1627848916249,2021-08-01T16:15:16.249,2.500,-0.610,-0.061,-1.402
1627848916259,2021-08-01T16:15:16.259,2.510,-0.610,2.866,-2.134
1627848916269,2021-08-01T16:15:16.269,2.520,-1.280,2.256,-1.098
1627848916279,2021-08-01T16:15:16.279,2.530,0.793,-0.671,-3.598
1627848916289,2021-08-01T16:15:16.289,2.540,4.085,-2.195,-7.744
1627848916299,2021-08-01T16:15:16.299,2.550,5.915,-3.415,-11.341
1627848916309,2021-08-01T16:15:16.309,2.560,8.780,-0.671,-21.280
1627848916319,2021-08-01T16:15:16.319,2.570,12.256,-0.610,-34.024
1627848916329,2021-08-01T16:15:16.329,2.580,17.927,-2.500,-41.402
1627848916339,2021-08-01T16:15:16.339,2.590,26.220,-1.098,-44.756
1627848916349,2021-08-01T16:15:16.349,2.600,34.451,0.122,-60.671
1627848916359,2021-08-01T16:15:16.359,2.610,47.622,3.537,-93.171
1627848916369,2021-08-01T16:15:16.369,2.620,59.024,9.634,-122.805
1627848916379,2021-08-01T16:15:16.379,2.630,74.329,13.841,-154.268
1627848916389,2021-08-01T16:15:16.389,2.640,90.427,18.049,-185.244
1627848916399,2021-08-01T16:15:16.399,2.650,99.573,24.268,-205.366
1627848916409,2021-08-01T16:15:16.409,2.660,102.927,32.012,-216.829
1627848916419,2021-08-01T16:15:16.419,2.670,99.634,40.366,-218.537
1627848916429,2021-08-01T16:15:16.429,2.680,88.110,48.963,-203.415
1627848916439,2021-08-01T16:15:16.439,2.690,73.293,55.915,-179.634
1627848916449,2021-08-01T16:15:16.449,2.700,53.110,59.878,-150.366
1627848916459,2021-08-01T16:15:16.459,2.710,27.927,60.061,-115.854
1627848916469,2021-08-01T16:15:16.469,2.720,1.402,54.390,-81.707
1627848916479,2021-08-01T16:15:16.479,2.730,-25.976,43.293,-48.354
1627848916489,2021-08-01T16:15:16.489,2.740,-54.024,30.427,-17.805
1627848916499,2021-08-01T16:15:16.499,2.750,-77.012,14.634,7.195
1627848916509,2021-08-01T16:15:16.509,2.760,-92.988,-2.683,27.378
1627848916519,2021-08-01T16:15:16.519,2.770,-100.366,-17.073,40.122
1627848916529,2021-08-01T16:15:16.529,2.780,-99.573,-27.256,44.207
1627848916539,2021-08-01T16:15:16.539,2.790,-92.317,-34.085,39.695
1627848916549,2021-08-01T16:15:16.549,2.800,-78.537,-39.146,24.207
1627848916559,2021-08-01T16:15:16.559,2.810,-61.829,-41.585,2.439
1627848916569,2021-08-01T16:15:16.569,2.820,-43.293,-39.146,-22.744
1627848916579,2021-08-01T16:15:16.579,2.830,-23.293,-32.378,-48.720
1627848916589,2021-08-01T16:15:16.589,2.840,-5.122,-24.573,-68.598
1627848916599,2021-08-01T16:15:16.599,2.850,10.610,-16.220,-82.439
1627848916609,2021-08-01T16:15:16.609,2.860,20.244,-6.585,-88.963
1627848916619,2021-08-01T16:15:16.619,2.870,23.537,2.805,-90.671
1627848916629,2021-08-01T16:15:16.629,2.880,22.256,8.902,-90.488
1627848916639,2021-08-01T16:15:16.639,2.890,15.488,11.463,-88.049
1627848916649,2021-08-01T16:15:16.649,2.900,5.976,12.317,-87.988
1627848916659,2021-08-01T16:15:16.659,2.910,-5.549,12.561,-89.512
1627848916669,2021-08-01T16:15:16.669,2.920,-17.988,13.171,-90.366
1627848916679,2021-08-01T16:15:16.679,2.930,-27.683,13.415,-90.000
1627848916689,2021-08-01T16:15:16.689,2.940,-35.000,14.146,-86.159
1627848916699,2021-08-01T16:15:16.699,2.950,-39.085,17.134,-80.793
1627848916709,2021-08-01T16:15:16.709,2.960,-40.061,20.244,-73.963
1627848916719,2021-08-01T16:15:16.719,2.970,-38.110,22.439,-67.317
1627848916729,2021-08-01T16:15:16.729,2.980,-34.146,24.939,-61.768
1627848916739,2021-08-01T16:15:16.739,2.990,-29.573,28.476,-56.768
1627848916749,2021-08-01T16:15:16.749,3.000,-23.415,32.256,-52.988
